PackageID,Weight_kg,Profit_INR,Location
DEL-101,42,1722,Pitampura, Delhi
DEL-102,42,1092,Sector 18, Noida
DEL-103,23,1104,Sohna Road, Gurgaon
DEL-104,20,580,Sector 56, Gurgaon
DEL-105,8,352,Cyber Hub, Gurgaon
DEL-106,36,1224,Vasant Kunj, Delhi
DEL-107,15,750,Rohini Sector 7, Delhi
DEL-108,44,880,Janakpuri, Delhi
DEL-109,15,480,Rohini Sector 7, Delhi
DEL-110,36,1764,Pitampura, Delhi
DEL-111,25,925,Faridabad Sector 15
DEL-112,15,720,Karol Bagh, Delhi
DEL-113,17,578,Faridabad Sector 15
DEL-114,33,1287,Chandni Chowk, Delhi
DEL-115,35,1085,Cyber Hub, Gurgaon
DEL-116,14,434,Dwarka Sector 10, Delhi
DEL-117,13,455,Dwarka Sector 10, Delhi
DEL-118,7,217,Pitampura, Delhi
DEL-119,5,200,Sector 29, Gurgaon
DEL-120,44,2200,Pitampura, Delhi
DEL-121,17,697,Connaught Place, Delhi
