PackageID,Weight_kg,Profit_INR,Location
DEL-101,6,132,Sector 56, Gurgaon
DEL-102,41,861,Hauz Khas, Delhi
DEL-103,15,615,Ghaziabad, Indirapuram
DEL-104,21,546,Connaught Place, Delhi
DEL-105,34,1122,Noida City Centre
DEL-106,34,986,Connaught Place, Delhi
DEL-107,7,154,Faridabad Sector 15
DEL-108,26,754,Lajpat Nagar, Delhi
DEL-109,16,384,Janakpuri, Delhi
DEL-110,27,999,Noida City Centre
DEL-111,12,384,Ghaziabad, Indirapuram
DEL-112,47,1504,Pitampura, Delhi
DEL-113,49,2009,Cyber Hub, Gurgaon
DEL-114,45,1800,Ghaziabad, Indirapuram
DEL-115,6,138,Rajouri Garden, Delhi
DEL-116,48,1056,Sector 18, Noida
DEL-117,16,608,Rohini Sector 7, Delhi
DEL-118,42,1386,Sector 56, Gurgaon
DEL-119,11,451,Janakpuri, Delhi
DEL-120,9,198,Karol Bagh, Delhi
DEL-121,38,1558,Janakpuri, Delhi
DEL-122,24,864,Rajouri Garden, Delhi
