PackageID,Weight_kg,Profit_INR,Location
DWA-101,8,184,Faridabad Sector 15
DWA-102,14,364,Sector 18, Noida
DWA-103,42,2100,Okhla Phase 3, Delhi
DWA-104,8,232,Noida City Centre
DWA-105,19,779,Ghaziabad, Indirapuram
DWA-106,13,429,Lajpat Nagar, Delhi
DWA-107,45,2115,Sector 29, Gurgaon
DWA-108,41,1189,Okhla Phase 3, Delhi
DWA-109,18,738,Vasant Kunj, Delhi
DWA-110,48,1440,Sector 56, Gurgaon
DWA-111,20,700,Greater Noida, Pari Chowk
DWA-112,10,490,Rohini Sector 7, Delhi
DWA-113,7,252,Rohini Sector 7, Delhi
DWA-114,19,741,Karol Bagh, Delhi
DWA-115,12,528,Sector 18, Noida
DWA-116,48,2064,Lajpat Nagar, Delhi
DWA-117,44,1276,Chandni Chowk, Delhi
DWA-118,12,504,Sohna Road, Gurgaon
DWA-119,24,744,Faridabad Sector 15
DWA-120,22,836,Pitampura, Delhi
DWA-121,20,820,Ghaziabad, Indirapuram
DWA-122,18,414,Chandni Chowk, Delhi
DWA-123,39,1794,Sector 62, Noida
