PackageID,Weight_kg,Profit_INR,Location
EAS-101,36,1584,Lajpat Nagar, Delhi
EAS-102,18,540,Chandni Chowk, Delhi
EAS-103,5,230,Hauz Khas, Delhi
EAS-104,16,368,Connaught Place, Delhi
EAS-105,44,1672,Cyber Hub, Gurgaon
EAS-106,15,435,Rohini Sector 7, Delhi
EAS-107,7,161,Rajouri Garden, Delhi
EAS-108,12,336,Saket, Delhi
EAS-109,36,1116,Pitampura, Delhi
EAS-110,29,957,Sector 18, Noida
EAS-111,25,675,Sector 29, Gurgaon
EAS-112,7,336,Dwarka Sector 10, Delhi
EAS-113,44,1584,Ghaziabad, Indirapuram
EAS-114,24,624,Faridabad Sector 15
EAS-115,35,735,Okhla Phase 3, Delhi
EAS-116,24,1200,Sector 62, Noida
EAS-117,40,1400,Sector 18, Noida
EAS-118,11,319,Karol Bagh, Delhi
EAS-119,41,2050,Sector 56, Gurgaon
EAS-120,42,1848,Janakpuri, Delhi
EAS-121,21,1050,Janakpuri, Delhi
EAS-122,29,783,Faridabad Sector 15
EAS-123,10,490,Rajouri Garden, Delhi
EAS-124,22,550,Lajpat Nagar, Delhi
EAS-125,46,2254,Sector 29, Gurgaon
