PackageID,Weight_kg,Profit_INR,Location
FAR-101,9,216,Hauz Khas, Delhi
FAR-102,38,1482,Sohna Road, Gurgaon
FAR-103,38,874,Janakpuri, Delhi
FAR-104,43,1806,Janakpuri, Delhi
FAR-105,50,1450,Rohini Sector 7, Delhi
FAR-106,10,320,Chandni Chowk, Delhi
FAR-107,23,874,Noida City Centre
FAR-108,23,460,Faridabad Sector 15
FAR-109,9,378,Sector 62, Noida
FAR-110,39,1482,Sector 29, Gurgaon
FAR-111,45,1485,Dwarka Sector 10, Delhi
FAR-112,22,968,Cyber Hub, Gurgaon
FAR-113,32,1344,Okhla Phase 3, Delhi
FAR-114,7,154,Lajpat Nagar, Delhi
FAR-115,13,286,Saket, Delhi
FAR-116,20,460,Connaught Place, Delhi
FAR-117,45,1755,Noida City Centre
FAR-118,47,1457,Sector 62, Noida
FAR-119,39,1872,Vasant Kunj, Delhi
FAR-120,48,1296,Noida City Centre
FAR-121,32,704,Ghaziabad, Indirapuram
