PackageID,Weight_kg,Profit_INR,Location
GHA-101,36,1368,Sohna Road, Gurgaon
GHA-102,21,546,Janakpuri, Delhi
GHA-103,26,1196,Faridabad Sector 15
GHA-104,40,1240,Pitampura, Delhi
GHA-105,23,1150,Saket, Delhi
GHA-106,11,473,Sector 56, Gurgaon
GHA-107,16,384,Saket, Delhi
GHA-108,20,900,Janakpuri, Delhi
GHA-109,39,858,Sector 29, Gurgaon
GHA-110,22,440,Chandni Chowk, Delhi
GHA-111,18,864,Saket, Delhi
GHA-112,35,735,Sector 29, Gurgaon
GHA-113,47,2350,Okhla Phase 3, Delhi
GHA-114,21,945,Sohna Road, Gurgaon
GHA-115,22,990,Sohna Road, Gurgaon
GHA-116,29,986,Sector 56, Gurgaon
GHA-117,39,858,Sector 29, Gurgaon
GHA-118,30,1290,Saket, Delhi
GHA-119,50,2350,Janakpuri, Delhi
GHA-120,45,1890,Connaught Place, Delhi
GHA-121,9,432,Okhla Phase 3, Delhi
GHA-122,27,1026,Sector 15, Noida
GHA-123,10,240,Chandni Chowk, Delhi
