PackageID,Weight_kg,Profit_INR,Location
GUR-101,5,130,Karol Bagh, Delhi
GUR-102,29,1015,Sector 18, Noida
GUR-103,5,190,Sector 62, Noida
GUR-104,6,216,Noida City Centre
GUR-105,29,783,Chandni Chowk, Delhi
GUR-106,50,2000,Okhla Phase 3, Delhi
GUR-107,42,840,Greater Noida, Pari Chowk
GUR-108,23,874,Chandni Chowk, Delhi
GUR-109,28,980,Dwarka Sector 10, Delhi
GUR-110,32,1024,Rohini Sector 7, Delhi
GUR-111,27,540,Chandni Chowk, Delhi
GUR-112,47,1269,Noida City Centre
GUR-113,28,756,Okhla Phase 3, Delhi
GUR-114,27,1080,Pitampura, Delhi
GUR-115,21,651,Sohna Road, Gurgaon
GUR-116,30,630,Chandni Chowk, Delhi
GUR-117,17,595,Rajouri Garden, Delhi
GUR-118,40,920,Pitampura, Delhi
GUR-119,46,2254,Pitampura, Delhi
GUR-120,44,1496,Rajouri Garden, Delhi
GUR-121,38,1178,Rohini Sector 7, Delhi
