PackageID,Weight_kg,Profit_INR,Location
NOI-101,13,650,Cyber Hub, Gurgaon
NOI-102,28,1148,Rajouri Garden, Delhi
NOI-103,21,903,Chandni Chowk, Delhi
NOI-104,39,1950,Hauz Khas, Delhi
NOI-105,48,2400,Sector 56, Gurgaon
NOI-106,30,1260,Saket, Delhi
NOI-107,44,1760,Chandni Chowk, Delhi
NOI-108,32,1440,Rajouri Garden, Delhi
NOI-109,45,1710,Faridabad Sector 15
NOI-110,40,1280,Sector 56, Gurgaon
NOI-111,50,2000,Sohna Road, Gurgaon
NOI-112,28,1148,Sector 18, Noida
NOI-113,33,759,Cyber Hub, Gurgaon
NOI-114,43,1634,Rohini Sector 7, Delhi
NOI-115,30,1320,Dwarka Sector 10, Delhi
NOI-116,48,1920,Karol Bagh, Delhi
NOI-117,50,1550,Rajouri Garden, Delhi
NOI-118,27,810,Sector 15, Noida
NOI-119,31,1147,Hauz Khas, Delhi
NOI-120,20,440,Greater Noida, Pari Chowk
NOI-121,17,561,Okhla Phase 3, Delhi
NOI-122,44,1496,Faridabad Sector 15
NOI-123,11,363,Lajpat Nagar, Delhi
NOI-124,13,338,Chandni Chowk, Delhi
